domain,trust_score,blacklisted,ip_bad_count_bad,ssl_valid,ip_country,anonymous_whois,dnsblock_threat_count,whois_registration_duration,whois_valid_email,avg_review_score,facebook_comments_negative_count,facebook_comments_positive_count,scamadviser_votes_legit,scamadviser_votes_scam,scamadviser_votes_fake,is_legit
merlinswap.org,56,0,0.29,1,US,1,0,0.53,0,0,0,0,0,0,0,1
fatbtc.com,1,0,0.03,1,US,1,0,10.51,0,1.49,0,0,0,0,0,1
camelot.exchange,12,0,0.26,1,US,1,0,1.82,0,0,0,0,0,0,0,1
fast.exchange.onetrading.com,80,0,0,1,US,1,0,20.05,1,0,0,0,0,0,0,1
dackieswap.xyz,1,0,0.41,1,US,1,0,1.28,0,1,0,0,0,0,0,1
koinim.com,1,0,0,1,US,1,0,11.24,1,1.78,0,0,0,5,2,1
localtrade.cc,1,0,0.03,1,US,0,0,6.13,0,2.25,0,0,0,0,1,1
coinw.com,100,0,0.29,1,US,1,0,15.34,0,2.25,0,0,0,1,0,1
app.drift.trade,41,0,0.16,1,US,1,0,2.95,0,0.5,0,0,0,0,0,1
phemex.com,1,0,0.1,1,NL,1,0,8.41,0,1.79,0,0,0,6,0,1
app.turbos.finance,82,0,0.15,1,NL,1,0,1.7,1,0,0,0,0,0,0,1
valr.com,62,0,0,1,US,1,0,23.54,0,2.41,0,0,0,1,0,1
coinex.com,100,0,0,1,US,1,0,23.03,0,1.98,0,0,2,21,5,1
bitbank.cc,1,0,0.11,1,NL,1,0,9.08,1,1.42,0,0,0,8,0,1
wazirx.com,65,0,0,1,US,0,0,6.63,1,1.67,0,0.6,3,4,0,1
coincheck.com,100,0,0,1,NL,1,0,22.63,1,1.73,0,0,0,2,0,1
bingx.com,100,0,0.12,1,US,1,0,9.24,0,1.95,0,0,0,9,4,1
coinone.co.kr,22,0,0.5,1,US,1,0,0,0,1.68,0,0,0,4,0,1
smardex.io,32,0,0.23,1,NL,1,0,1.89,0,3.7,0,0,0,0,0,1
bancor.network,100,0,0.02,1,US,1,0,7.67,0,2.78,0,0,0,0,0,1
orion.xyz,72,0,0,1,US,1,0,9.87,0,1,0,0,0,0,0,1
unisat.io,100,0,0.33,1,US,1,0,1.44,0,1,0,0,0,0,0,1
gopax.co.kr,52,0,0.15,1,NL,1,0,0,0,1.88,0,0,0,0,0,1
bit.com,27,0,0.42,1,US,1,0,33.24,0,2.64,0,0,0,4,0,1
bybit.com,100,0,0,1,SG,1,0,24.98,0,1.65,1,0,0,28,4,1
hashkey.com,100,0,0,1,HK,0,0,26.5,0,1.68,0,0,0,0,0,1
orbixtrade.com,90,0,0,1,DE,1,0,2.23,0,1,0,0,0,0,0,1
diamondswap.com,85,0,0,1,US,1,0,5.21,0,0,0,0,0,0,0,1
retro.finance,1,0,0.07,1,US,1,0,1.26,1,0,0,0,0,0,0,1
deribit.com,10,0,0,1,GB,1,0,10.52,0,1.98,0,1,0,3,0,1
zkswap.finance,77,0,0.12,1,NL,1,0,1.42,0,4.61,0,0,0,0,0,1
fameex.com,60,0,0.05,1,US,0,0,5.72,0,2.1,0,0,0,0,0,1
dodoex.io,56,0,0.07,1,US,1,0,4.07,1,1.04,0,0,0,1,2,1
luno.com,85,0,0.08,1,US,1,0,23.5,1,3.47,0.16,0.37,2,19,4,1
app.frax.finance,87,0,0,1,US,1,0,4.98,1,0,0,0,0,0,0,1
sushi.com,100,0,0.17,1,US,0,0,25.44,0,1.69,0,0,0,0,0,1
polkaswap.io,100,0,0.19,1,NL,1,0,4.45,0,0.5,0,0,0,0,0,1
bitcastle.io,2,0,0,1,SG,1,0,5.14,1,1.55,0,0,0,9,1,1
dapp.ezkalibur.com,57,0,0.03,1,US,1,0,1.32,1,0,0,0,0,0,0,1
whitebit.com,100,0,0.11,1,US,1,0,15.87,0,3.07,0,0,0,12,1,1
ramses.exchange,82,0,0.07,1,US,1,0,1.45,0,0,0,0,0,0,0,1
clipper.exchange,92,0,0.08,1,US,1,0,3.12,1,0,0,0,0,0,0,1
spooky.fi,87,0,0.47,1,FI,0,0,2.7,0,0,0,0,0,0,0,1
lynex.fi,42,0,0.05,1,US,0,0,1.02,0,0,0,0,0,0,0,1
saucerswap.finance,92,0,0.04,1,US,1,0,2.42,1,0,0,0,0,0,0,1
citex.link,86,0,0.5,1,JP,1,0,3.31,0,0,0,0,0,0,0,1
yokaiswap.com,52,0,0.04,1,US,1,0,3.27,1,3,0,0,0,0,2,1
bigone.com,57,0,0,1,NL,1,0,27.75,0,1.87,0,0,0,0,0,1
app.luaswap.org,47,0,0.05,1,US,1,0,3.86,1,0.5,0,0,0,0,0,1
bitexen.com,37,0,0.22,1,US,0,0,6.94,0,1.87,0,0,0,1,0,1
independentreserve.com,82,0,0.15,1,US,1,0,11.17,1,2.56,0,0,0,1,0,1
crypto.com,100,0,0,1,US,1,0,31.23,1,1.51,0,0,11,60,18,1
mimo.finance,50,0,0,0,US,1,0,3.9,1,0,0,0,0,0,0,1
kripto.btcturk.com,82,0,0,1,US,1,0,11.82,0,1,0,0,0,0,0,1
bitcoiva.com,46,0,0,1,IN,0,0,4.35,0,3.2,0,0,1,1,0,1
btcbox.co.jp,52,0,0.9,1,US,0,0,0,0,1.3,0,0,0,0,0,1
curve.fi,100,0,0.07,1,US,0,0,4.55,0,2.24,0,0,1,0,0,1
app.nostra.finance,62,0,0.14,1,US,1,0,1.99,0,0,0,0,0,0,0,1
app.9inch.io,62,0,1,1,US,1,0,1.33,1,1,0,0,0,0,0,1
blockchain.com,100,0,0,1,US,1,0,13.38,0,1.33,0.16,0.37,9,41,11,1
izumi.finance,100,0,0.15,1,US,1,0,3.13,0,0,0,0,0,0,0,1
openocean.finance,68,0,0.09,1,US,1,0,3.95,0,0.67,0,0,0,0,0,1
trade.cex.io,32,0,0.17,1,US,1,0,11.07,0,0,0,0,0,0,0,1
apex.exchange,62,0,0.06,1,NL,1,0,3.61,0,1.87,0,0,0,0,0,1
p2pb2b.com,1,0,0,1,US,1,0,7.42,0,3.31,0,0,2,1,1,1
app.openxswap.exchange,52,0,0,1,US,1,0,2.22,1,0,0,0,0,0,0,1
app.wingriders.com,97,0,0.11,1,NL,1,0,10.99,1,0,0,0,0,0,0,1
julswap.com,92,0,0.25,1,US,1,0,3.7,1,3.7,0,0,0,0,0,1
vvs.finance,100,0,0.23,1,US,1,0,2.94,0,0.5,0,0,0,0,0,1
bitflyer.com,100,0,0,1,NL,1,0,11.15,1,1.51,0,0,0,4,0,1
app.elk.finance,82,0,0.36,1,US,1,0,3.38,0,0,0,0,0,0,0,1
app.degate.com,86,0,0,1,US,1,0,7.29,1,0,0,0,0,0,0,1
rhino.fi,100,0,0.03,1,US,0,0,8.28,0,1,0,0,0,0,0,1
stellarterm.com,66,0,0.12,1,US,1,0,7.54,0,1.67,0,0,0,0,0,1
cryptology.com,100,0,0.2,1,NL,1,0,25.82,0,3.5,0,0,0,3,2,1
ascendex.com,52,0,0,1,US,1,0,15.99,0,1.37,0,0,0,2,0,1
gate.io,100,0,0,1,JP,1,0,7.01,1,1.64,0,0.5,1,18,7,1
tapbit.com,100,0,0.2,1,JP,1,0,13.72,0,3.88,0,0,0,0,0,1
app.chronos.exchange,52,0,0.05,1,US,1,0,1.39,0,0,0,0,0,0,0,1
ftm.curve.fi,97,0,0.15,1,US,0,0,4.55,0,0,0,0,0,0,0,1
btc-trade.com.ua,76,0,0,1,DE,1,0,10.19,0,3.35,0,0,0,0,0,1
deepcoin.com,67,0,0,1,US,1,0,9.34,0,1.94,0,0,0,3,0,1
okcoin.jp,72,0,0,1,JP,1,0,0,0,0,0,0,0,0,0,1
btse.com,100,0,0.06,1,NL,1,0,22.33,0,2.97,0,0,0,0,0,1
greenhousedex.com,92,0,0.15,1,US,1,0,2.35,1,0,0,0,0,0,0,1
bitso.com,62,0,0,1,US,0,0,20.76,1,1.6,0,0.67,0,4,0,1
wanswap.finance,92,0,0.13,1,US,1,0,3.86,0,0,0,0,0,0,0,1
bitfinex.com,100,0,0,1,US,1,0,11.78,0,2.5,0.13,0.47,0,11,3,1
aerodrome.finance,52,0,0,1,AT,1,0,1.29,0,1,0,0,0,0,0,1
app.meteora.ag,1,0,0.16,1,US,1,0,1.62,0,0,0,0,0,0,0,1
coinmate.io,100,0,0.06,1,US,1,0,10.61,1,3.97,0,0,0,0,0,1
kraken.com,100,0,0,1,US,1,0,24.32,1,2,0,0.33,3,31,5,1
app.cetus.zone,22,0,0.09,1,NL,1,0,2.01,0,0,0,0,0,0,0,1
bitlo.com,100,0,0.05,1,US,0,0,13.46,1,1.95,0,0,0,2,0,1
icrypex.com,100,0,0,1,US,0,0,6.36,0,2.1,0,0,0,0,0,1
bit2me.com,78,0,0,1,US,1,0,9.62,0,3.65,0.33,0,0,1,1,1
c-patex.com,43,0,0.3,1,US,1,0,6.77,0,2.15,0,0,0,0,0,1
zebpay.com,26,0,0.12,1,US,1,0,9.98,1,1.7,0.18,0.27,0,5,2,1
trade.zigzag.exchange,77,0,0.16,1,US,1,0,2.91,0,0,0,0,0,0,0,1
max.maicoin.com,21,0,0.05,1,US,1,0,10.91,0,1.5,0,0,0,5,1,1
difx.com,82,0,0,1,US,0,0,22.61,1,1.56,0,0,0,0,0,1
bitrue.com,30,0,0,1,SG,1,0,9.32,0,1.72,0,0,1,14,3,1
kuna.io,83,0,0,1,US,1,0,10.22,0,4.1,1,0,0,0,0,1
wannaswap.finance,65,0,0.05,0,US,1,0,2.79,0,0,0,0,0,0,0,1
pancakeswap.finance,100,0,0,1,US,1,0,3.86,1,1.58,0,0,5,9,1,1
vertexprotocol.com,97,0,0.37,1,DE,1,0,2.66,0,0,0,0,0,0,0,1
app.ekubo.org,42,0,0.02,1,US,1,0,1.13,0,0,0,0,0,0,0,1
idex.io,67,0,0,1,US,1,0,6.19,0,1.2,0,0,0,0,0,1
hebeswap.com,67,0,0,1,BG,1,0,2.56,1,1,0,0,0,0,0,1
bydfi.com,1,0,0.25,1,US,1,0,2.26,0,2.26,0,0,0,0,0,1
binance.com,100,0,0,1,JP,0,0,7.31,1,2.55,0.03,0.56,22,96,30,1
vapordex.io,97,0,0.05,1,US,1,0,2.27,1,0,0,0,0,0,0,1
delta.exchange,1,0,0.17,1,US,1,0,6.42,0,2.2,0,0,0,1,0,1
islandswap.com,90,0,0.05,1,NL,1,0,3.6,0,0,0,0,0,0,0,1
zipmex.com,85,0,0.28,1,US,1,0,6.12,0,2.05,0,0,0,2,0,1
htx.com,100,0,0.17,1,US,1,0,28.62,1,1.32,0,0,0,0,0,1
hitbtc.com,1,0,0.2,1,US,1,0,12.82,0,1.43,0.19,0.42,1,19,3,1
woo.org,100,0,0.02,1,US,1,0,27.62,0,4,0,0,0,0,0,1
app.pulsex.com,36,0,0.16,1,US,0,0,8.54,0,0,0,0,0,0,0,1
weex.com,41,0,0.07,1,NL,1,0,20.6,0,1.54,0,0,0,3,0,1
bittylicious.com,100,0,0.04,1,US,1,0,11.18,0,4.68,0,0,0,0,0,1
biconomy.com,1,0,0.02,1,US,1,0,7.13,0,2.04,0,0,0,3,1,1
hotcoin.com,42,0,1,1,DE,1,0,11.57,0,1.53,0,0,0,5,0,1
lmaxdigital.com,76,0,0.6,1,US,1,0,6.66,0,0,0,0,0,0,0,1
sunswap.com,96,0,0.04,1,US,1,0,8.18,0,1.23,0,0,0,1,0,1
qmall.io,92,0,0.03,1,US,1,0,3.39,0,3.22,0,0,0,0,0,1
bitci.com,62,0,0.05,1,US,0,0,16.82,0,2.29,0,0,0,0,0,1
swapr.eth.limo,87,0,0,1,US,1,0,3.12,0,0,0,0,0,0,0,1
kanga.exchange,37,0,1,1,US,1,0,6.49,0,2.06,0,0,0,3,2,1
koinbx.com,36,0,0.04,1,US,1,0,2.27,0,1.2,0,0,0,0,0,1
exchange.gleec.com,76,0,0.18,1,US,1,0,9.39,0,0,0,0,0,0,0,1
okx.com,100,0,0,1,HK,1,0,23.07,1,1.9,0,0,0,21,5,1
kwenta.io,86,0,0.16,1,US,1,0,3.97,0,1,0,0,0,0,0,1
dashboard.claimswap.org,56,0,0.05,1,NL,0,0,0,0,0,0,0,0,0,0,1
app.yuzu-swap.com,35,0,0,0,HK,1,0,2.76,0,0,0,0,0,0,0,1
btcc.com,1,0,0.07,1,US,1,0,29.16,0,3.54,0,1,0,6,1,1
indodax.com,100,0,0,1,US,1,0,7.39,0,2.89,0,0.33,4,6,2,1
aprobit.com,90,0,0.04,1,US,1,0,5.25,1,3,0,0,0,0,0,1
kyberswap.com,82,0,0.25,1,US,1,0,5.93,1,2.64,0,0,0,0,0,1
yoshi.exchange,82,0,0.13,1,US,1,0,3.18,1,0,0,0,0,0,0,1
coinbase.com,100,0,0.06,1,US,1,0,13.06,0,1.53,0.12,0.56,6,115,45,1
ston.fi,100,0,0,1,DE,0,0,2.18,0,1,0,0,0,0,0,1
coinut.com,99,0,0,1,US,1,0,10.67,0,1.91,0,0.66,0,4,0,1
digifinex.com,100,0,0,1,US,0,0,6.88,0,3.86,0,0,0,2,0,1
bitmart.com,100,0,0.8,1,US,1,0,23.15,0,3.03,0,0,1,18,3,1
exchange.pointpay.io,28,0,0,1,US,1,0,6.57,0,1,0,0,0,0,0,1
btcmarkets.net,100,0,0,1,US,1,0,11.18,0,4.54,0,0,0,2,0,1
coins.ph,1,0,0.29,1,US,0,0,0,0,1.29,0.17,0.32,3,9,1,1
upbit.com,100,0,0,1,US,1,0,20.54,0,1.6,0,0,0,2,0,1
noahark.pro,64,0,0.12,1,US,1,0,1.87,0,0,0,0,0,0,0,1
cointr.pro,4,0,0.3,1,NL,1,0,2.21,0,1.69,0,0,0,4,0,1
kine.io,1,0,1,1,JP,1,0,7.86,1,1.27,0,0,0,5,1,1
orangex.com,78,0,0,1,US,1,0,25.75,0,2.33,0,0,0,0,0,1
syncswap.xyz,72,0,0.06,1,US,1,0,2.36,1,1,0,0,0,0,0,1
app.thruster.finance,31,0,0,1,US,1,0,0.63,0,1,0,0,0,0,0,1
bitonic.nl,100,0,0,1,DE,0,0,12.38,0,3.95,0,0,0,1,1,1
pro.coinlist.co,47,0,0.33,1,US,1,0,7.52,0,2,0,0,0,1,0,1
traderjoexyz.com,47,0,0.33,1,US,1,0,3.04,0,2.57,0,0,0,4,1,1
kujira.network,47,0,0.12,1,US,1,0,2.16,0,1,0,0,0,0,0,1
jup.ag,100,0,0,1,US,1,0,2.85,1,2.21,0,0,0,0,0,1
app.balancer.fi,82,0,0,1,US,0,0,17.21,0,1.27,0,0,0,2,1,1
ripio.com,100,0,0,1,US,0,0,21.32,0,4.2,0,0,1,2,0,1
shibaswap.com,72,0,0.04,1,US,1,0,3.47,1,2.32,0,0,0,1,1,1
bitkub.com,100,0,0,1,US,1,0,8.21,0,1.8,0,0,0,1,0,1
lightning.korbit.co.kr,42,0,0,1,US,1,0,0,0,1,0,0,0,0,0,1
xt.com,100,0,0.38,1,HK,1,0,26.73,0,1.51,1,0,0,6,4,1
bithumb.com,1,0,1,1,US,1,0,9.1,1,1.54,0,1,0,3,0,1
lykke.com,22,0,0.07,1,US,1,0,20.89,0,1.87,0,0,0,2,1,1
coinstore.com,92,0,0.49,1,NL,1,0,22.24,0,1.4,0,0,0,1,1,1
pro.changelly.com,1,0,0.14,1,US,1,0,10.58,1,2.38,0,0,0,0,0,1
oku.trade,72,0,0,1,US,1,0,1.32,0,0,0,0,0,0,0,1
wagmi.com,100,0,0.08,1,US,1,0,14.25,0,2,0,0,0,0,0,1
,44.57968476,0,0,0,US,0,0,0,0,0,0,0,0,0,0,1
,44.57968476,0,0,0,US,0,0,0,0,0,0,0,0,0,0,1
,44.57968476,0,0,0,US,0,0,0,0,0,0,0,0,0,0,1
yobit.net,30,0,0.67,1,RU,1,0,9.91,1,2.31,0.2,0.51,4,73,16,1
liquidswap.com,100,0,0.08,1,US,0,0,6.19,0,0,0,0,0,0,0,1
bitmex.com,100,0,0.5,1,NL,0,0,20.92,1,1.87,0,0.75,0,16,3,1
oraidex.io,32,0,0.14,1,US,1,0,2.41,0,1.8,0,0,0,2,1,1
buda.com,100,0,0,1,US,1,0,25.43,0,3.67,0,0,0,0,0,1
primexbt.com,1,0,0.17,1,US,0,0,5.9,0,4.41,0.33,0,1,21,4,1
superex.com,1,0,0.43,1,US,1,0,28.53,0,2.22,0,0,0,2,1,1
gemini.com,1,0,0.09,1,NL,1,0,30.45,1,1.27,0,0,0,14,3,1
swap.tomb.com,100,0,0.16,1,US,1,0,26.02,0,0,0,0,0,0,0,1
paymium.com,100,0,0,1,US,1,0,14.14,0,3.67,0,1,0,1,0,1
dedust.io,100,0,0.04,1,US,1,0,1.99,1,2.5,0,0,0,0,0,1
latoken.com,1,0,0.16,1,US,1,0,7.04,0,4.43,0,0,0,16,4,1
legacy.pegasys.fi,82,0,0.15,1,US,0,0,2.18,0,0,0,0,0,0,0,1
coinmetro.com,52,0,0.5,1,US,1,0,10.65,0,4.39,0,0,0,3,0,1
app.animeswap.org,42,0,0,1,HK,1,0,1.97,1,0,0,0,0,0,0,1
app.beamswap.io,87,0,0.14,1,US,1,0,2.86,0,0,0,0,0,0,0,1
dex-trade.com,12,0,0.12,1,US,1,0,7.33,1,2.9,0,0,0,13,2,1
backpack.exchange,26,0,0.09,1,NL,1,0,1.19,0,1,0,0,0,0,0,1
biswap.org,16,0,0.5,1,US,1,0,3.92,0,3.44,0,0,1,3,0,1
babydogeswap.com,42,0,0.06,1,US,1,0,3.1,0,1.3,0,0,0,2,1,1
xeggex.com,100,0,0,1,US,1,0,2.89,0,3.65,0,0,0,0,0,1
bitstamp.net,100,0,0,1,US,1,0,13.06,1,2.05,0,0.67,0,9,4,1
freiexchange.com,76,0,0.11,1,US,1,0,8.35,1,2.95,0,0,0,1,0,1
lizard.exchange,92,0,0.67,1,DE,1,0,2.52,0,0,0,0,0,0,0,1
mainnet.aux.exchange,62,0,0.14,1,US,1,0,1.84,0,0,0,0,0,0,0,1
rudex.org,100,0,0.31,1,US,1,0,7.41,0,3.5,0,0,0,0,0,1
bitvenus.com,100,0,0,1,NL,0,0,6.57,0,1,0,0,0,0,0,1
tokenize.exchange,91,0,0.5,1,US,1,0,6.86,0,2.06,0,0,0,0,0,1
kyotoswap.io,67,0,0.08,1,US,1,0,1.89,0,0,0,0,0,0,0,1
mav.xyz,100,0,0.07,1,US,1,0,2.74,0,2,0,0,0,0,0,1
coinhub.mn,61,0,0,1,KR,0,0,3.23,1,1.27,0,0,0,2,0,1
tokocrypto.com,1,0,0.1,1,NL,0,0,7.21,0,1.58,0,0,0,16,6,1
slex.io,65,0,0,1,US,1,0,2.46,0,3,0,0,0,0,0,1
info.hakuswap.com,56,0,0,1,US,1,0,2.62,0,0,0,0,0,0,0,1
app.honeyswap.org,78,0,0.16,1,US,1,0,3.89,0,0,0,0,0,0,0,1
zaif.jp,52,0,0,1,JP,1,0,0,0,1.6,0,0,0,1,0,1
blasterswap.com,50,0,0.06,1,US,0,0,0.66,0,0,0,0,0,0,0,1
astroswap.app,92,0,0.05,1,US,1,0,2.84,0,0,0,0,0,0,0,1
astroport.fi,100,0,0.07,1,US,0,0,3.19,0,0,0,0,0,0,0,1
tokpie.io,62,0,0,1,DE,1,0,6.51,0,1,0,0,0,1,0,1
websea.com,100,0,0.03,1,US,1,0,23.83,0,4,0,0,0,0,0,1
alexlab.co,72,0,0.06,1,IE,1,0,2.7,0,0,0,0,0,0,0,1
app.voltage.finance,67,0,0.26,1,NL,1,0,3.41,0,0,0,0,0,0,0,1
tradeogre.com,1,0,0.32,1,US,1,0,6.56,1,3.38,0,0,0,1,1,1
bullish.com,100,0,0,1,US,0,0,22.35,1,1,0,0,0,0,0,1
orca.so,57,0,0,1,US,1,0,3.77,1,1.75,0,0,0,0,0,1
cryptal.com,72,0,0.19,1,NL,1,0,19.92,0,1,0,0,0,2,0,1
lbank.com,1,0,0.22,1,US,1,0,29.47,0,1.31,0,0,0,0,0,1
fairdesk.com,82,0,0,1,US,1,0,13.72,0,1.95,0,0,0,0,0,1
mexc.com,100,0,0,1,JP,1,0,24.41,1,1.39,0,0,0,8,3,1
swap.xcadnetwork.com,42,0,0.07,1,US,1,0,3.29,0,0,0,0,0,0,0,1
toobit.com,52,0,0,1,JP,1,0,14.72,0,1.19,0,0,0,0,0,1
solidly.com,92,0,0.34,1,US,0,0,20.37,0,4,0,0,0,0,1,1
altcointrader.co.za,88,0,0.08,1,US,0,0,0,0,3.03,1,0,2,3,0,1
kucoin.com,100,0,0.09,1,NL,1,0,10.69,1,1.58,0,0.25,1,35,7,1
app.osmosis.zone,100,0,0,1,US,1,0,3.46,1,0,0,0,0,0,0,1
foxbit.com.br,87,0,0,1,US,0,0,0,0,1.95,0,0,0,0,0,1
mercadobitcoin.com.br,66,0,0,1,US,0,0,0,0,2.92,0,0.38,0,3,1,1
trisolaris.io,72,0,0.03,1,US,1,0,2.89,0,0,0,0,0,0,0,1
app.slingshot.finance,72,0,0,1,US,1,0,4.17,1,0,0,0,0,0,0,1
binance.us,76,0,0.47,1,NL,1,0,6.74,0,1.24,0,0,0,15,4,1
nicehash.com,100,0,0,1,US,1,0,10.33,0,2.64,0.2,0.4,1,4,3,1
zondacrypto.com,57,0,0,1,US,1,0,1.73,1,1.1,0,0,0,0,0,1
nonkyc.io,57,0,0.1,1,US,1,0,2.71,0,0,0,0,0,0,0,1
itbit.com,90,0,0,1,US,1,0,26.74,1,2.67,1,0,0,0,0,1
nominex.io,48,0,0.03,1,US,1,0,6.71,0,3.85,0,0,2,1,0,1
metalx.com,100,0,0.16,1,US,1,0,24.65,0,0,0,0,0,0,0,1
bitopro.com,77,0,0,1,US,1,0,6.86,0,2.22,0,0,0,1,0,1
acdx.cash,62,0,0.04,1,US,1,0,1.71,0,0,0,0,0,0,0,1
www.kibbleswap.dog,80,0,0.17,1,US,1,0,1.93,1,0,0,0,0,0,0,1
velodrome.finance,92,0,0,1,SK,1,0,2.25,0,3.4,0,0,0,0,0,1
app.wombat.exchange,71,0,0.16,1,US,1,0,2.95,0,0,0,0,0,0,0,1
info.benswap.cash,57,0,0.04,1,US,1,0,2.92,1,0,0,0,0,0,0,1
ref.bitbns.com,41,0,1,1,US,1,0,6.71,0,0,0,0,0,0,0,1
probit.com,100,0,0,1,US,0,0,25.34,0,4.36,1,0,0,5,1,1
pionex.com,1,0,0.14,1,NL,1,0,5.45,0,2.74,0,0,3,12,3,1
defiscan.live,57,0,0.03,1,US,1,0,2.96,0,0,0,0,0,0,0,1
quickswap.exchange,62,0,0.38,1,US,1,0,3.83,0,1.9,0,0,0,0,0,1
app.dexalot.com,81,0,0.32,1,NL,1,0,3.44,1,0,0,0,0,0,0,1
bittrade.co.jp,32,0,0.15,1,US,0,0,0,0,1,0,0,0,0,0,1
exmo.com,53,0,0,1,US,1,0,21.64,0,2.67,0,0.42,0,3,0,1
coincorner.com,100,0,0,1,US,1,0,20.45,1,4.19,0.33,0.33,1,4,0,1
1inch.exchange,100,0,0.3,1,US,1,0,5.24,1,4.69,0,0,0,0,0,1
coin.z.com,100,0,0.09,1,NL,0,0,26.61,1,1,0,0,0,0,0,1
app.uniswap.org,61,0,0.07,1,US,1,0,5.65,0,1.37,0,0,0,1,1,1
bitget.com,100,0,0.21,1,US,1,0,21.48,0,1.56,0,0,1,17,5,1
trade.bitazza.com,100,0,0.2,1,US,1,0,6.15,0,0,0,0,0,0,0,1
soy.finance,67,0,0.03,1,US,1,0,3.89,1,0,0,0,0,0,0,1
bitvavo.com,86,0,0.09,1,US,1,0,7.26,1,4.02,1,0,0,6,0,1
raydium.io,100,0,0,1,US,1,0,3.48,0,2.12,0,0,0,2,0,1
thena.fi,100,0,0.32,1,US,0,0,1.85,0,0,0,0,0,0,0,1
emirex.com,57,0,0,1,US,1,0,15.73,0,2.05,0,0,0,0,0,1
beets.fi,100,0,0.07,1,US,0,0,2.75,0,0,0,0,0,0,0,1
app.nash.io,100,0,0,1,US,1,0,9.72,0,0,0,0,0,0,0,1
bitstorage.finance,51,0,0.25,1,US,1,0,5.9,1,3.08,0,0,0,1,1,1
bitdelta.com,93,0,0,1,US,0,0,10.76,0,4.03,0,0,0,0,0,1
